TIME_PERIOD,TO_COUNTRY,FROM_COUNTRY,AMOUNT
2024,Central America and Caribbean,United States,47781129.4665979
2024,Canada,United States,156776245.887845
2024,Pacific Islands,United States,1328465.52564628
2024,Australia and New Zealand,United States,587851.514540552
2024,Dominican Republic,United States,16946575.361292
2024,China,United States,276403470.445205
2024,Philippines,United States,27572965.0408169
2024,Indonesia,United States,17974191.7807672
2024,Guatemala,United States,16698457.8236621
2024,United States,Nicaragua,93463541.1129118
2024,United States,Costa Rica,16988457.5140594
2024,United States,Southern and Eastern Asia,2691214.15549274
2024,United States,Canada,574969286.665643
2024,United States,Hong Kong,0
2024,Middle East – Western Asia,United States,16406772.4236631
2024,Sub-Saharan Africa,United States,495716.590057617
2024,Taiwan,United States,114478622.521791
2024,United Arab Emirates,United States,10067108.512741
2024,Northern Africa,United States,529635.37915526
2024,United States,Sub-Saharan Africa,2998.28592
2024,United States,Central America and Caribbean,223564.19133888
2024,United States,New Zealand,386377903.553543
2024,United States,Uruguay,171688924.20974
2024,United States,Paraguay,13084351.8508685
2024,United States,China,0
2024,United States,Philippines,0
2024,United States,Northern Africa,0
2024,United States,Guatemala,0
2024,Netherlands,United States,15893550.6945765
2024,Western and Central Europe,United States,15527756.891133
2024,Japan,United States,394662615.819868
2024,Central Asia,United States,39871.9108274899
2024,Mexico,United States,199260710.204943
2024,United States,Western and Central Europe,9115001.16708399
2024,United States,Australia,533773209.497724
2024,United States,Brazil,423192252.023804
2024,United States,Mexico,334416656.647836
2024,United States,Argentina,51119525.9074059
2024,United States,Southern America,1888.9201296
2024,United States,Central Asia,0
2024,United States,Pacific Islands,0
2024,United States,Middle East – Western Asia,0
2024,United States,United Arab Emirates,0
2024,United States,Indonesia,0
2024,Southern America,United States,14538476.3374532
2024,Southern and Eastern Asia,United States,19329091.5978301
2024,South Korea,United States,362122265.353549
2024,Hong Kong,United States,46144994.3381255
2024,Eastern Europe,United States,6581.42635413564
2024,United States,Eastern Europe,2936.15967204
2024,United States,Taiwan,0
